battery_id,chemistry,temperature_C,charge_rate_C,dod_pct,batch_id,is_abnormal,rated_capacity_Ah,r0_pct_per_cyc,knee_soh,eol_cycle,reached_eol
SIM-NCM-01-01,NCM,10,0.5,70,2,False,4.974972185969447,0.010139400882499951,0.8394440680664081,2189,True
SIM-NCM-01-02,NCM,10,0.5,70,3,False,5.016362644853446,0.010139400882499951,0.8208483378714256,2289,True
SIM-NCM-01-03,NCM,10,0.5,70,1,False,4.9849805692853915,0.010139400882499951,0.8294924359784582,2243,True
SIM-NCM-02-01,NCM,10,0.5,80,2,False,4.881636176577965,0.013601743398947977,0.825346619472818,1684,True
SIM-NCM-02-02,NCM,10,0.5,80,3,False,4.886511668508767,0.013601743398947977,0.8396059859339697,1627,True
SIM-NCM-02-03,NCM,10,0.5,80,1,False,4.9226924177397535,0.013601743398947977,0.8210248454801808,1701,True
SIM-NCM-03-01,NCM,10,0.5,90,2,False,4.965465957297989,0.01762504063221171,0.8248956206610759,1296,True
SIM-NCM-03-02,NCM,10,0.5,90,3,False,4.908504677086937,0.01762504063221171,0.8359642261189449,1262,True
SIM-NCM-03-03,NCM,10,0.5,90,1,False,4.889936505887817,0.01762504063221171,0.8497803985326113,1219,True
SIM-NCM-04-01,NCM,10,1.0,70,2,False,4.914405891144574,0.014349885986175898,0.8221215056605521,1607,True
SIM-NCM-04-02,NCM,10,1.0,70,3,False,4.878864470384763,0.014349885986175898,0.8496614073644225,1502,True
SIM-NCM-04-03,NCM,10,1.0,70,1,False,4.8677566344206715,0.014349885986175898,0.8274344578435834,1587,True
SIM-NCM-05-01,NCM,10,1.0,80,2,False,4.920634437004276,0.019250000000000003,0.8357505218304475,1155,True
SIM-NCM-05-02,NCM,10,1.0,80,3,False,5.045986421722792,0.019250000000000003,0.8418528213966989,1137,True
SIM-NCM-05-03,NCM,10,1.0,80,1,False,4.825287440068398,0.019250000000000003,0.8267891617627521,1180,True
SIM-NCM-06-01,NCM,10,1.0,90,2,False,4.926280486739472,0.024944010647658388,0.8442861260722769,868,True
SIM-NCM-06-02,NCM,10,1.0,90,3,False,5.0065807373000935,0.024944010647658388,0.832057579500081,895,True
SIM-NCM-06-03,NCM,10,1.0,90,1,False,4.817245403652623,0.024944010647658388,0.8297056527200674,900,True
SIM-NCM-07-01,NCM,10,2.0,70,2,False,4.924488507342419,0.023375258383224403,0.8321051297406551,956,True
SIM-NCM-07-02,NCM,10,2.0,70,3,False,4.981055371230916,0.023375258383224403,0.8488119136009834,917,True
